Subzone,Planning Area,Population
Admiralty,Sembawang,13480
Airport Road,Paya Lebar,0
Alexandra Hill,Bukit Merah,13150
Alexandra North,Bukit Merah,2780
Aljunied,Geylang,39620
Anak Bukit,Bukit Timah,21220
Anchorvale,Sengkang,50050
Ang Mo Kio Town Centre,Ang Mo Kio,4760
Anson,Downtown Core,80
Bahar,Western Water Catchment,0
Balestier,Novena,32020
Bangkit,Bukit Panjang,21680
Bayfront Subzone,Downtown Core,0
Bayshore,Bedok,7340
Bedok North,Bedok,81010
Bedok Reservoir,Bedok,24940
Bedok South,Bedok,45860
Bencoolen,Rochor,1240
Bendemeer,Kallang,36950
Benoi Sector,Pioneer,0
Bidadari,Toa Payoh,0
Bishan East,Bishan,27300
Boat Quay,Singapore River,130
Boon Keng,Kallang,11310
Boon Lay Place,Jurong West,28350
Boon Teck,Toa Payoh,14890
Boulevard,Orchard,340
Braddell,Toa Payoh,9610
Bras Basah,Museum,10
Brickland,Tengah,0
Brickworks,Bukit Batok,25180
Bugis,Downtown Core,880
Bukit Batok Central,Bukit Batok,26900
Bukit Batok East,Bukit Batok,12300
Bukit Batok South,Bukit Batok,14580
Bukit Batok West,Bukit Batok,14550
Bukit Ho Swee,Bukit Merah,14000
Bukit Merah,Bukit Merah,1060
Cairnhill,Newton,3800
Cecil,Downtown Core,320
Central Subzone,Downtown Core,980
Central Water Catchment,Central Water Catchment,0
Changi Airport,Changi,0
Changi Bay,Changi Bay,0
Changi Point,Changi,560
Changi West,Changi,1330
Chatsworth,Tanglin,6830
Cheng San,Ang Mo Kio,27260
Chin Bee,Jurong West,0
China Square,Outram,1340
Chinatown,Outram,10090
Choa Chu Kang Central,Choa Chu Kang,22200
Choa Chu Kang North,Choa Chu Kang,31260
Chong Boon,Ang Mo Kio,25800
City Hall,Downtown Core,90
City Terminals,Bukit Merah,20
Clarke Quay,Singapore River,100
Cleantech,Western Water Catchment,0
Clementi Central,Clementi,14390
Clementi North,Clementi,27870
Clementi West,Clementi,14770
Clementi Woods,Clementi,15770
Clifford Pier,Downtown Core,0
Commonwealth,Queenstown,6660
Compassvale,Sengkang,20750
Coney Island,Punggol,0
Coronation Road,Bukit Timah,6400
Crawford,Kallang,8050
Dairy Farm,Bukit Panjang,6810
Defu Industrial Park,Hougang,10
Depot Road,Bukit Merah,6400
Dhoby Ghaut,Museum,350
Dover,Queenstown,10690
Dunearn,Novena,3790
East Coast,Marine Parade,0
Everton Park,Bukit Merah,7520
Faber,Clementi,5320
Fajar,Bukit Panjang,27020
Farrer Court,Bukit Timah,6140
Farrer Park,Rochor,2500
Fernvale,Sengkang,58390
Flora Drive,Pasir Ris,14840
Forest Hill,Tengah,10
Fort Canning,Museum,170
